userName,score,content
mukhlis,5,"Aplikasi ini sangat membantu sekali untuk mengetahui token kita mau habis. Prediksi token akan habis kapannya bisa diketahui juga. Sehingga masalah kehabisan token di tengah malam sudah tidak kami alami lagi sejak ada aplikasi ini. Terimakasih,"
Rahma Syaakirah,5,"Aplikasi sangat membantu, banyak fitur yg dihadirkan seperti pemberitahuan pemadaman, bisa cek tagihan, bisa pengaduan juga semisal ada kendala dimeteran kita. PLN Mobile memang jawaban buat kita semua yg gak mau ribetğŸ¤©ğŸ‘ğŸ¼"
Rafiq Utomo,5,"Aplikasi PLN Mobile bagus, aplikasi mudah di akses, & sangat membantu di saat ada masalah kelistrikan sangat cepat direspon petugas & untuk ubah daya juga sangat membantu..ğŸ‘ Trimkasih PLN"
Dead Killer,5,"Dengan adanya apk PLN mobile, lebih memudahkan untuk melakukan pembayaran listrik juga memudahkan untuk melakukan pengaduan jika ada gangguan dan bisa melakukan transaksi pasang baru tambah daya, jadi aplikasi PLN mobile ini sangat bermanfaat. Terima kasih PLN mobileğŸ™"
Odilia Djuma,5,"Dengan mendownload aplikasi ini mempermudah untuk melakukan pengaduan, pembelian token listrik, tambah daya yang lebih mudah dan efisien ditambah dengan adanya voucher-voucher menarik yang bisa di gunakan di aplikasi. Aplikasi ini sangat mempermudah dalam kehidupan sehari-hari dan juga mempersingkat waktu. Terima kasih PLN Mobile sudah hadir semoga semakin berkembang kedepannya. Harapannya semoga semakin banyak pengguna PLN Mobileâœ¨"
Novi Rayanthi,5,"Dengan Pln mobile, jd lebih mudah. Kalau ada gangguan, tinggal ajukan pengaduan.. bisa cek2 tagihan jg... Bisa langsung proses pembayaran tagihan listrik & pembelian token."
juna bird,5,"Sejak aplikasi ini dimunculkan , sudah saya pakai beberapakali dan sangat2 responsip untuk pengaduan pelanggan yg terutama, kemudahan isi token listrik , simulasi pembayaran pasang baru ,ubah daya dan migrasi juga sangat mudah dan terbuka, PLN terbaik ğŸ‘ğŸ‘ğŸ‘ğŸ‘ŒğŸ‘ŒğŸ‘Œ."
Jack Kus,3,Mohon notifikasi di aplikasi yang terupdate. Sudah melakukan isi token listrik namun notifikasi pulsa habis masih ada dan ter-highlight. Mohon diperbaiki. Terima kasih
Elia Nurelia,5,"Alhamdulillah dengan adanya PLN Mobile ini mempermudah pada saat kehabisan token, pada saat ingin tau informasi tagihan, info tambah daya, info pasang baru, informasi ketika pemadaman, pengaduan gangguan, info promo-promo yang lagi Hits di PLN, mempermudah sekali, semoga pelayanan nya bisa lebih ditingkatkanâ˜º"
INTANPON Bulak,5,"mudah dan sangat membantu di kala membutuhkan / menyampaikan keluhan tentang listrik dan mohon sistem pembayaran di perbanyak seprti,gopaylater,kredivo, dll. Agar pembelian token listrik lebih mudah dlm 1 aplikasi."
aku rahay,5,"Dengan adanya aplikasi ini saya sangat terbantu untuk pengecekan data dan sangat mudah di gunakan,tidak ada iklan,dan juga sangat cpt saat dioprasikan"
Safrudin Hanip,5,"Sangat berguna sekali aplikasi ini dan mempercepat proses perbaikan gangguan secara online baik itu laporan Kwh ,gangguan jaringan,laporan padam dan lain - lain apa bila di butuhkan sangat cepat responsif dari petugasnya sangat cepat"
DeirA NakheeL,5,"Aplikasi super canggih dan komplit nh, gak ada lawan dech, kayak toserba serba lengkap, bisa beli token, bisa pasang baru, sampai ada doorprize nya mobil listrik yg diundi setiap bulannya, dengan aplikasi ini semoga PLN tetap terdepan dalam inovasi pelayanan pelanggan,"
Rojaq Himura,5,Tahun baru ....penuh dgn semangat baru. Tentunya Dgn PLN mobile sebagai jawaban untuk pelanggan. memberikan kemudahan dan kenyaman dlm bertransaksi...PLN Mobile semakin nyaman dan mudah dlm bertransaksi. ğŸ‘ğŸ‘
charolina theresia,4,Saya baru coba catat kWh meter sendiri melalui SwaCamp tapi tidak bisa. Estimasi tagihan jadi tidak masuk akal. Tutorial hanya berupa tulisan dan tidak mudah dimengerti
Kukuh,5,"Aplikasi ini sangat memudahkan pelanggan. Mulai dari pasang baru, tambah daya, sambungan sementara, pengaduan, hingga marketplace UKM Binaan PLN. Semua terintegrasi dalam satu layanan aplikasi. 24 hour, 7 day a week, semua bisa terlayani tanpa perlu datang dan antri di kantor layanan PLN. Catat meter mandiri juga bisa dilakukan melalui menu swacam untuk menghindari kesalahan baca meter."
Fajar Harinurdi,5,"Cakeeeep bener yah....Aplikasinya makin keren, sangat membantu, makin lengkap menu menunya, Semakin mudah urusan Listrik dalam satu genggaman. Thanks ğŸ™ğŸ¼ğŸ™ğŸ»ğŸ™ğŸ»ğŸ‘ğŸ»ğŸ‘ğŸ»ğŸ‘ğŸ»"
endardi agus priyanto,5,PLN Mobile telah memudahkan kami sebagai pelanggan untuk mendapatkan pelayanan yang optimal & maksimal jika ada gangguan kelistrikan. N gk perlu repot2 lagi klo pingin loss strum ato pasang baru listrik. TrimsğŸ‘ŒğŸ‘ğŸ‘
Tio dwi cahyo Tio dwi cahyo,5,"Aplikasi nya sangat membantu Dalam menangani pelayanan Gangguan Listrik khususnya pada malam Hari,sangat sigap dan cepat Respon petugas nya,,Tambah lagi ada fitur untuk tambah Daya tidak perlu Repot-repot ke kantor PLN,untuk isi Token di malam hari sangatlah cepat Dan Gampang terpercaya. Semangat kerja buat Aplikasi ini ğŸ¤²ğŸ¤²ğŸ¤ğŸ’ªğŸ’ªğŸ’ª"
KOPLO DRUM PROJECT,2,"Aplikasi semakin kesini semakin aneh, ga bisa dipake kata nya suruh update, giliran udah di update ttp aja gak bisa diakses, pihak aplikasi tolong perbaiki lah jelasÂ² udah di update masih aja suruh update lagi padahal di play store ga ada update"
Sulaiman Eman,5,Apk yang sangat bagus. Dengan memanfaatkan semua fitur yang ada pada aplikasi pLN Mobile cukup bersantai dirumah semua masalah mengenai kelistrikan baik itu gangguan maupun pembayaran bisa dengan mudah serta cepat teratasi.
Edi Junaedi,3,"Maksud ingin isi token Id tidak di temukan padahal sudah berulangkali di cek berulangkali masukkan id dengan benar , tetapi tetap id tidak ditemukan, sangat membingungkan.Huh Sudah normal sendiri tanpa di rubah apapun."
Kansha Alifa,5,"Dengan adanya aplikasi PLN MOBILE Ini sangat membantu pelanggan, jika ada gangguan kita tidak perlu capek - capek datang ke PLN.. kita cukup melaporkan melalui aplikasi PLN MOBILE ini, kita juga bisa mengecek jumlah pembayaran listrik, membeli token listrik dan masih banyak keunggulan lainnya... PLN is The best.."
Feni Fiyandri,2,Dalam hal pengaduan aplikasi tidak membantu karena kita tidak bisa lihat progres tindaklanjut petugas. Progres hanya dijalankan aplikasi bukan reel petugas dilapangan. Setelah posting pengaduan di aplikasi saya jg telpon langsung 123 dan tindaklajutnya jg tidak sesuai dengan aplikasi
iCHi_LoVe,3,"Kecewa dikit dengan PLN, dengan kronologi penggantian meter ke token di awal November (13), bulan Desember masih bisa isi ulang token (18), diawal Januari tidak bisa (01), karena masih ada selisih yang harus dibayar (sisa pemakaian sebelum migrasi ke Token).. awal tahun baru yang kurang baik rasanya, seharusnya, kalau memang masih ada selisih kurang bayar, harusnya dipastikan tidak lama setelah penggantian meter ke Token, atau paling lama sebulan kemudian, kalau seperti ini kan tidak bagus..TQ"
Akfa Ulin Nuha,5,"Aplikasi kelistrikan sangat lengkap dan sangat membantu dalam pelaporan gangguan cepat tanggap, tidak perlu jauh jauh lagi dateng ke kantor. Sangat puas dengan aplikasi ini"
Novi Mulyani,5,"APK PLN MOBILE Bagus sekali sangat membantu, beli token listrik murah, cek token listrik mudah.. Cek tagihan mudah. Bisa pengadua gangguan mudah, Banyak promo.. Promo besar besaran ğŸ¥³ bisa belanja juga,"
Ragil Rahadian,5,"aplikasi yang sangat membantu dalam hal kelistrikan, mulai dari pengaduan & permohonan dll. informasi yang diberikan didalam nya juga sangat informatif, semoga kedepan nya lebih baik lagi untuk pln dan aplikasi nya, dan juga para pekerja nya semakin sejahtera termasuk yang outsorcing nya terimakasihğŸ™"
Cristin Vera,3,"Terimakasih atas respon pihak developer, saya harap aplikasi ini dapat terus berjalan lebih baik lagi karena setiap saya masuk ke aplikasi dan agak lama berada didalam aplikasi aplikasi tersebut suka keluar sendiri, itu adalah kendala yang saya hadapi, sejauh ini dari segi fitur tidak ada hambatan atau apapun dari aplikasi PLN mobile sendiri"
Azfa Huwaiza Fathannal,5,"Dengan adanya PLN MOBILE ini sangat membantu pelanggan , jika ada gangguan kelistrikan kita tidak perlu repot repot datang ke PLN , kita hanya cukup menggunakan aplikasi PLN MOBILE ,kita juga bisa membeli token listrik , mengecek pembayaran listrik dan masih banyak lagi. Pokonya aplikasi nya the best"
AkangBagolll,5,Aplikasi nya bagus sekali Membantu masyarakat Indonesia dalam hal laporan keluhan listrik dengan secara online dan praktis Membantu masyarakat agar tambah daya/pasang baru secara online pokoknya memudah kan sekali... Mantap
Sunan,5,"PLN Mobile sudah diupdate makin memudahkan saya dalam melakukan pengaduan gangguan atau keluhan, responnya cepat sekali. Pokoknya mantap lah, terima kasih pln mobileğŸ‘ğŸ‘ğŸ¤©"
adria mita,5,"Terimakasih petugas PLN sudah membantu saya.. saya anak rantau tidak ada kenal siapa2, apalagi nyuruh orang datang malam2 perbaiki listrik sangat tidak mungkin.. saya coba menggunakan aplikasi PLN yg sudah lama saya download dan tidak sampai 1 jam mereka datang.. awalnya nelpon coba memberikan solusi tapidirasa tidak berhasil mereka kemudian datang langsung.. terimakasih banyak bantuannya ğŸ™ semoga selalu sehat"
Galih Adiitt,5,"Aplikasi sangat membantu dan mempermudah untuk mendapatkan informasi tentang pemadaman, tagihan,tambah daya dll.Dan bisa untuk pengaduan juga."
Mr.703y Baim,5,Ya .cukup membantu dengan ada nya aplikasi PLN mobile. Jadi bisa irit pulsa .klo mau laporan pengaduan/ yg laen nya. Bisa melalui aplikasi pln mobile. Saran nya seh . Di perbaiki lg masalah titik kordinat nya ya. Suka meleset jauh titik lokasi nyağŸ™ğŸ™ğŸ™
Yeni Fitria,5,"Aplikasinya keren banget, udah kaya gojek aja nih udh bsa tracking posisi petugas lapangan nya kalo lagi lapor gangguan. Semangat PLN, semoga aplikasinya bsa terus mengalami pembaharuan yg bermanfaat utk pelanggan. ğŸ«°"
Fahrul Rozak,5,App yang sangat membantu..kemarin sya bongkar case putih karena ada sarang serangga yg bkin listrik suka mati tau nya pas d buka malah keluar tulisa periksa..saya coba minta bantuan app Allhmdulillah di proses cepat langsung beres bisa nyala lagi..
Pebri Asmar,5,"Aplikasi mudah di mengerti dan sangat terbantu terkait pelaporan gangguan dan keluhan PLN, sehingga pelayanan cepat, dan bisa belanja juga di market place..mantap masih ada promo tambah daya.."
Joni Santika,5,Aplikasi yg bagus dan mempermudah layanan pelanggan saat gangguan Kelistrikan. Untuk sekarang ini juga banyak promo yg ditawarkan. Tetap dipertahankan sisi pelayanan nya ya.
agil putra,5,"Saya sangat puas dengan layanan yang diberikan oleh PLN Mobile. Antarmuka yang ramah pengguna membuatnya mudah untuk memantau dan membayar tagihan listrik tanpa kerumitan. Fitur notifikasi yang aktif memberikan peringatan dini tentang pemadaman atau informasi tagihan yang penting. Pilihan paket yang beragam memberikan fleksibilitas, dan saya merasa bahwa PLN Mobile benar-benar memahami kebutuhan pengguna ,terima kasih PLN Mobile"
Erinda Kusumah,5,Sangat membantu dalam hal pelaporan padam listrik dan dimudahkan juga dalam pembelian voucher dengan biaya admin yg relatif rendah dan juga sdh kerjasama dgn beberapa bank. Semoga bisa lebih baik lagi diturunkan aplikasi yg disediakan
Ade Andika,5,"Alhamdulillah, Aplikasi bagus dan sangat bermanfaat, membuat semua masalah jadi transparan, dan bisa belanja juga dapet promo, sekarang urusan listrik semakin mudah, maju terus PLN, maju terus Indonesia"
Moh Ikhsan,5,"Terimakasih PLN.. Dengan adanya aplikasi PLN mobile.. Proses apapun tentang pelayanan kelistrikan pasang baru, tambah daya,pasang sementara, gangguang listrik menjadi lebih mudah dan cepat.."
nining rafi,5,"Aplikasinya keren sangat bermanfaat bagi pelanggan, pelayanan makin baik dan cepat, tinggal pencet aja semua pelayanan listrik bisa di akses dan bisa berlaku di semua wil indonesia....keren, terbaik, terbaik, mantap...ğŸ‘"
Ghalih Wijaya,5,"Terimakasih pln mobile, palayanan pasang baru ataupun perubahan daya sangat cepat diperoses, tidak perlu nunggu lama- lama."
usman adjie,5,"Aplikasi yg cukup membantu sekali,bisa cek tagian setiap bulan dan lapor listrik padam jadi makin mudah dan makin cepat pelayanannya. KreeeenğŸ‘"
anis juliyanto,5,"Aplikasi yg sangat aman & nyaman dalam 1 genggaman, dalam 1 aplikasi bisa mengatasi semua trobel listrik.. PLN is the best"
Gio,5,"Selama menggunakan PLN Mobile, saya sangat terbantu. Bisa pengaduan gangguan jika terjadi gangguan kWh meter di rumah. Bisa tambah daya dan pasang baru melalui PLN Mobile tanpa harus ke loket lagi, bisa pembelian token tanpa biaya admin. Semoga aplikasi ini semakin baik kedepannya. Pln terbaik ğŸ‘ğŸ‘ğŸ‘ğŸ‘ğŸ‘ğŸ‘ğŸ‘"
Tias Novika,5,"Mudah banget pake aplikasi ini, bisa tau kapan ada jadwal pemadaman, lapor gangguan juga ngga ribet dan langsung ditanggapi, banyak promo juga keren deh pokoknya ğŸ‘ âœ¨ï¸"
Himawan Yusuf,1,"Perum Amarapura wilayah PLN UPN3 Serpong setiap hujan dikit saja mati lampu, dan ini sudah berulang2 ya. Mati lampu pun tidak sebentar, pernah jam 8 malam sampai jam 3 pagi baru nyala. Tolong PLN lebih cermat lagi dan mau keluar duit, tim teknisi sih sudah bagus dan udah gercep tapi kalau masalah terus berulang, artinya ada sesuatu yg salah di sistem kelistrikannya, entah undercapasity atau yg lain"
Aprilio Alexander,5,Aplikasinya sangat bagus dan mudah ketika ada gangguan listrik di rmh. Tdk cape2 jlan ke kntr pon.. Cukup lewat aplikasi sdh lapor gangguannya..
Anita Rowito Purba,5,"Aplikasi PLN Mobile sangat memudahkan pengguna untuk mengakses informasi tagihan, melakukan pembayaran dengan cepat, dan memantau konsumsi listrik. Antarmuka yang intuitif dan fitur notifikasi yang berguna membuat pengalaman pengguna lebih baik."
HERY ANDRIADI,5,"Aplikasinya bagus, Mempermudah jika ada masalah di KWH, jaringan dan juga memudahkan dalam pembayaran atau pendaftaran pasang baru kwh,responnya cepat, semoga PLN semakin jaya."
Bagus Yatin mulyono,5,"Terima kasih PLN mobile,dengan apk PLN mobile semua jadi mudah,mulai dr pembayaran listrik,beli pulsa,pesen lewat marketplace semua ada di sini,kpn ada promo tambah daya lagi kak.."
Annisa Zahra,5,"Aplikasinya sangat membantu, fitur2nya memudahkan pengguna untuk mengatasi masalah kelistrikan, hidup jadi lebih praktis deh pokoknya, terima kasih PLN mobileâ˜ºï¸"
imam ghozali,5,"dengan adanya PLN Mobile sangat membantu pelanggan... maubeli pulsa listrik, cari"" info tidak perlu harus datang ke kantor PLN, cukup dari rumah dan sewaktu-waktu bisa.. Terima kasih pelayananya dipermudah.."
Achmad Handika,5,"Aplikasinya sangat membantu sekali, cuma belum bisa melakukan perubahan tarif lewat aplikasi, semoga nanti update selanjutnya disediakan menu ini."
